,period,price,number
1151,20231006207,14951,1
1152,20231006206,14933,3
1153,20231006205,14945,5
1154,20231006194,14891,1
1155,20231006193,14897,7
1156,20231006192,14885,5
1157,20231006191,14887,7
1158,20231006190,14857,7
1159,20231006189,14877,7
1160,20231006198,14898,8
1161,20231006197,14929,9
1162,20231006196,14891,1
1163,20231006195,14907,7
1164,20231006194,14852,2
1165,20231006183,14867,7
1166,20231006182,14848,8
1167,20231006181,14829,9
1168,20231006180,14829,9
1169,20231006179,14823,3
1170,20231006188,14845,5
1171,20231006187,14857,7
1172,20231006186,14849,9
1173,20231006185,14836,6
1174,20231006184,14878,8
1175,20231006173,14893,3
1176,20231006172,14871,1
1177,20231006171,14869,9
1178,20231006170,14876,6
1179,20231006169,14881,1
1180,20231006178,14847,7
1181,20231006177,14859,9
1182,20231006176,14858,8
1183,20231006175,14853,3
1184,20231006174,14878,8
1185,20231006173,14893,3
1186,20231006172,14902,2
1187,20231006161,14901,1
1188,20231006160,14912,2
1189,20231006159,14896,6
1190,20231006168,14883,3
1191,20231006167,14866,6
1192,20231006166,14863,3
1193,20231006165,14897,7
1194,20231006154,14894,4
1195,20231006153,14898,8
1196,20231006152,14863,3
1197,20231006151,14844,4
1198,20231006150,14831,1
1199,20231006149,14817,7
1200,20231006158,14862,2
1201,20231006157,14890,0
1202,20231006156,14900,0
1203,20231006155,14917,7
1204,20231006144,14764,4
1205,20231006143,14767,7
1206,20231006142,14773,3
1207,20231006141,14791,1
1208,20231006140,14791,1
1209,20231006139,14783,3
1210,20231006148,14781,1
1211,20231006147,14784,4
1212,20231006146,14803,3
1213,20231006145,14776,6
1214,20231006144,14764,4
1215,20231006143,14825,5
1216,20231006132,14819,9
1217,20231006131,14784,4
1218,20231006130,14799,9
1219,20231006129,14782,2
1220,20231006138,14784,4
1221,20231006137,14797,7
1222,20231006136,14804,4
1223,20231006135,14804,4
1224,20231006134,14801,1
1225,20231006133,14825,5
1226,20231006132,14819,9
1227,20231006131,14784,4
1228,20231006120,14727,7
1229,20231006119,14696,6
1230,20231006128,14774,4
1231,20231006127,14774,4
1232,20231006126,14778,8
1233,20231006125,14771,2
1234,20231006114,14676,6
1235,20231006113,14686,6
1236,20231006112,14663,3
1237,20231006111,14679,9
1238,20231006110,14656,6
1239,20231006109,14662,2
